reference	major subtype found	log_likelihood of the reference subtype
12013,Ref.04_cpx.CY.94.94CY032_3.AF049337,0.03-0	04_cpx	-4962.397146925943
3703,Ref.33_01B.MY.05.05MYKL007_1.DQ366659,0.02-5	01_AE	-4928.146856864191
4099,Ref.47_BF.ES.08.P1942.GQ372987,0.04-5	D	-4934.073372141729
10371,Ref.B.NL.00.671_00T36.AY423387,0.1-2	B	-5034.812349939475
10391,Ref.B.FR.83.HXB2_LAI_IIIB_BRU.K03455,0.1-2	D	-5033.7658107113875
14868,Ref.31_BC.BR.02.110PA.EF091932,0.09-3	C	-5031.063866443217
15505,Ref.38_BF1.UY.04.UY04_3987.FJ213781,0.06-4	D	-4990.7094520878245
3307,Ref.A2.CM.01.01CM_1445MV.GU201516,0.01-1	A2	-4913.343463974182
10586,Ref.23_BG.CU.03.CB347.AY900572,0.1-4	01_AE	-5070.29338323781
442,Ref.43_02G.SA.03.J11243.EU697907,0.02-8	43_02G	-4888.271928189853
3047,Ref.F2.CM.95.95CM_MP257.AJ249237,0.01-0	F2	-4862.0669158524315
5492,Ref.F2.CM.97.CM53657.AF377956,0.08-3	01_AE	-4983.482964390056
372,Ref.F2.CM.02.02CM_0016BBY.AY371158,0.02-8	F2	-4765.178025324035
93,Ref.40_BF.BR.04.04BRSQ46.EU735540,0.06-9	B	-4990.744509762325
9894,Ref.K.CM.96.96CM_MP535.AJ249239,0.1-1	01_AE	-5064.2445299429455
5388,Ref.31_BC.BR.02.110PA.EF091932,0.08-3	C	-5021.708737073418
5459,Ref.42_BF.LU.03.luBF_05_03.EU170155,0.08-3	B	-4966.177261233416
6503,Ref.D.UG.94.94UG114.U88824,0.08-4	D	-4993.767849485382
5431,Ref.13_cpx.CM.02.02CM_A1394.DQ845388,0.08-3	A1	-5079.497229851243
14432,Ref.06_cpx.GH.03.03GH173_06.AB286851,0.09-4	A1	-5080.066399514602
437,Ref.B.FR.83.HXB2_LAI_IIIB_BRU.K03455,0.02-8	B	-4906.681498217195
3978,Ref.02_AG.LR.x.POC44951.AB485636,0.04-5	02_AG	-4934.866564320473
4050,Ref.04_cpx.GR.91.GR11_97PVCH.AF119820,0.04-5	04_cpx	-5019.713761502853
3029,Ref.13_cpx.CM.04.04CM_632_28.DQ845387,0.01-0	13_cpx	-4920.635732595305
10137,Ref.D.UG.94.94UG114.U88824,0.1-3	D	-5023.469037595828
3563,Ref.42_BF.LU.03.luBF_05_03.EU170155,0.01-9	B	-4820.964677379626
12385,Ref.D.CD.83.ELI.K03454,0.03-2	D	-4910.676865019116
12061,Ref.04_cpx.GR.97.GR84_97PVMY.AF119819,0.03-0	04_cpx	-4985.336903843671
13409,Ref.05_DF.ES.99.X492.AY227107,0.06-8	D	-4967.063113814801
2858,Ref.11_cpx.CM.95.95CM_1816.AF492624,0.01-3	11_cpx	-4903.3884937622315
13884,Ref.43_02G.SA.03.J11223.EU697904,0.09-8	01_AE	-4995.218869294811
12935,Ref.05_DF.ES.99.X492.AY227107,0.03-5	D	-4906.4086544783595
3968,Ref.A2.CD.97.97CDKTB48.AF286238,0.04-5	A2	-4958.6649818735605
10842,Ref.K.CM.96.96CM_MP535.AJ249239,0.1-7	D	-5039.397960712572
11842,Ref.05_DF.BE.93.VI961.AF076998,0.03-8	B	-4929.4903672025
1203,Ref.11_cpx.CM.97.MP818.AJ291718,0.02-7	11_cpx	-4888.586536663163
2160,Ref.46_BF.BR.01.01BR125.DQ358802,0.01-6	F1	-4918.423053061992
9096,Ref.06_cpx.AU.96.BFP90.AF064699,0.05-1	06_cpx	-4971.565999972873
9556,Ref.H.BE.93.VI991.AF190127,0.05-4	H	-4978.848736544727
7811,Ref.33_01B.MY.05.05MYKL007_1.DQ366659,0.07-3	01_AE	-4999.748595052742
9933,Ref.05_DF.ES.99.X492.AY227107,0.1-1	D	-5018.340213722158
9652,Ref.11_cpx.CM.95.95CM_1816.AF492624,0.05-5	A1	-4974.992109392106
3142,Ref.34_01B.TH.99.OUR2478P.EF165541,0.01-0	34_01B	-4840.675832025406
8551,Ref.21_A2D.KE.99.KER2003.AF457051,0.05-2	D	-4955.731581665098
15296,Ref.10_CD.TZ.96.96TZ_BF071.AF289549,0.09-1	D	-5058.994329278708
3264,Ref.02_AG.NG.x.IBNG.L39106,0.01-1	02_AG	-4878.351397140394
103,Ref.F1.FR.96.96FR_MP411.AJ249238,0.06-9	F1	-4947.6497164709135
9340,Ref.A2.CD.97.97CDKTB48.AF286238,0.05-7	A2	-4980.810679686508
1131,Ref.D.UG.94.94UG114.U88824,0.02-7	D	-4890.624084970313
524,Ref.10_CD.TZ.96.96TZ_BF061.AF289548,0.04-9	D	-4937.457069393868
7623,Ref.F1.FI.93.FIN9363.AF075703,0.07-2	F1	-4976.9905921648515
8983,Ref.39_BF.BR.04.04BRRJ179.EU735535,0.05-0	B	-4988.290291603151
4271,Ref.04_cpx.CY.94.94CY032_3.AF049337,0.03-4	04_cpx	-4959.6025879237795
14986,Ref.38_BF1.UY.05.UY05_4752.FJ213780,0.09-3	D	-5041.345375348867
6745,Ref.24_BG.CU.03.CB378.AY900574,0.07-4	D	-5040.341865751579
7870,Ref.10_CD.TZ.96.96TZ_BF071.AF289549,0.07-3	D	-5007.35293739241
1845,Ref.20_BG.CU.99.Cu103.AY586545,0.02-3	G	-4896.468210547278
10720,Ref.38_BF1.UY.05.UY05_4752.FJ213780,0.1-4	D	-5057.573727313565
14963,Ref.45_cpx.CD.97.97CD_MBFE185.FN392874,0.09-3	A1	-5035.067587921818
10443,Ref.C.ZA.04.04ZASK146.AY772699,0.1-5	C	-5015.660793065027
4666,Ref.31_BC.BR.04.04BR137.AY727526,0.04-1	C	-4977.4546761242655
12956,Ref.23_BG.CU.03.CB347.AY900572,0.03-6	02_AG	-4955.549165765043
9930,Ref.38_BF1.UY.05.UY05_4752.FJ213780,0.1-1	D	-5063.039366629073
9431,Ref.24_BG.CU.03.CB378.AY900574,0.05-7	A1	-5034.511248037397
8429,Ref.C.BR.92.BR025_d.U52953,0.07-9	C	-4996.033358880911
6947,Ref.13_cpx.CM.96.96CM_1849.AF460972,0.07-5	02_AG	-5015.773167117212
9534,Ref.06_cpx.GH.03.03GH173_06.AB286851,0.05-4	06_cpx	-5014.677483774072
8425,Ref.G.BE.96.DRCBL.AF084936,0.07-9	D	-4966.17818137337
11983,Ref.49_cpx.GM.03.N26677.HQ385479,0.03-9	49_cpx	-4739.028333415262
11637,Ref.F1.FR.96.96FR_MP411.AJ249238,0.04-3	F1	-4931.400328193018
12975,Ref.21_A2D.KE.99.KER2003.AF457051,0.03-6	D	-4923.316679229718
3753,Ref.H.CF.90.056.AF005496,0.02-5	H	-4896.205858906955
1504,Ref.06_cpx.EE.01.EE0359.AY535659,0.02-1	06_cpx	-4907.924230813995
13961,Ref.18_cpx.CU.99.CU68.AY894993,0.09-9	A1	-5004.511696654579
14620,Ref.31_BC.BR.04.04BR137.AY727526,0.09-5	C	-5048.796846930425
1735,Ref.K.CD.97.97ZR_EQTB11.AJ249235,0.02-0	D	-4905.78230667101
8807,Ref.35_AD.AF.05.05AF026.EF158043,0.05-3	A1	-4972.61772326725
13493,Ref.05_DF.BE.x.VI1310.AF193253,0.06-1	B	-5008.523057659037
5006,Ref.38_BF1.UY.04.UY04_4022.FJ213782,0.08-9	B	-5016.246183618661
4150,Ref.B.TH.90.BK132.AY173951,0.03-3	B	-4898.7536512556135
14536,Ref.23_BG.CU.03.CB347.AY900572,0.09-5	A1	-5077.772876406482
3920,Ref.10_CD.TZ.96.96TZ_BF071.AF289549,0.02-4	10_CD	-4930.4632084863715
14206,Ref.46_BF.BR.01.01BR087.DQ358801,0.09-6	F1	-5037.9249745297
11640,Ref.46_BF.BR.01.01BR125.DQ358802,0.04-3	F1	-4961.635631369506
11408,Ref.22_01A1.CM.01.01CM_0001BBY.AY371159,0.04-4	A1	-4805.739366123089
6697,Ref.D.CD.83.ELI.K03454,0.07-4	D	-4973.410535723769
5269,Ref.C.BR.92.BR025_d.U52953,0.06-3	C	-4985.042477927064
10963,Ref.D.CD.83.ELI.K03454,0.1-6	D	-5028.327276779249
8011,Ref.45_cpx.CD.97.97CD_MBFE185.FN392874,0.05-8	A1	-4973.988529011699
15445,Ref.H.CF.90.056.AF005496,0.03-7	H	-4927.490147455296
5531,Ref.29_BF.BR.02.BREPM119.AY771590,0.08-2	D	-5012.0079167791155
5741,Ref.04_cpx.GR.97.GR84_97PVMY.AF119819,0.08-1	04_cpx	-5032.714751964443
5463,Ref.G.PT.x.PT2695.AY612637,0.08-3	D	-5076.210502829159
10826,Ref.06_cpx.EE.01.EE0359.AY535659,0.1-7	06_cpx	-5031.569582215246
5464,Ref.40_BF.BR.04.04BRRJ115.EU735538,0.08-3	B	-5044.935779459837
8573,Ref.45_cpx.GA.97.97GA_TB45.FN392877,0.05-2	A1	-4943.867883180661
10141,Ref.14_BG.ES.00.X605.AF450096,0.1-3	D	-5090.305369550173
15710,Ref.19_cpx.CU.99.CU29.AY588971,0.06-7	A1	-4994.904173153461
14603,Ref.A2.CY.94.94CY017_41.AF286237,0.09-5	C	-5057.916454229306
507,Ref.25_cpx.SA.03.J11451.EU697908,0.04-9	02_AG	-4937.471355706056
7624,Ref.33_01B.ID.07.JKT194_C.AB547464,0.07-2	01_AE	-4981.241280092227
11440,Ref.26_AU.CD.02.02CD_MBTB047.FM877782,0.04-4	02_AG	-4955.610922460606
10818,Ref.17_BF.AR.02.AR02_ARG1139.EU581825,0.1-7	F1	-5034.339854072688
11788,Ref.25_cpx.SA.03.J11233.EU697906,0.03-8	25_cpx	-4913.258382804914
8353,Ref.05_DF.ES.99.X492.AY227107,0.07-8	B	-4985.688028715612
4331,Ref.29_BF.BR.01.BREPM16704.DQ085876,0.03-4	B	-4973.487789409758
14390,Ref.08_BC.CN.97.97CNGX_6F.AY008715,0.09-4	C	-5019.631303798151
11410,Ref.07_BC.CN.05.XJDC6441.EF368370,0.04-4	07_BC	-4927.633513606805
3461,Ref.C.ET.86.ETH2220.U46016,0.01-8	C	-4901.680039017398
1944,Ref.09_cpx.US.99.99DE4057.AY093607,0.02-2	09_cpx	-4751.166244104173
3493,Ref.18_cpx.CM.97.CM53379.AF377959,0.01-9	18_cpx	-4911.727946484619
2865,Ref.38_BF1.UY.04.UY04_3987.FJ213781,0.01-3	38_BF1	-4903.176789902796
14253,Ref.25_cpx.SA.03.J11451.EU697908,0.09-7	A1	-5022.311441901644
13366,Ref.09_cpx.GH.96.96GH2911.AY093605,0.06-8	A1	-4963.935244084149
14282,Ref.09_cpx.CI.00.00IC_10092.AJ866553,0.09-7	D	-5040.830597728235
8698,Ref.29_BF.BR.99.BREPM11948.DQ085871,0.05-3	D	-4976.662555318357
10377,Ref.20_BG.CU.99.Cu103.AY586545,0.1-2	A1	-5031.939126471632
13560,Ref.18_cpx.CU.99.CU14.AY586541,0.06-1	A1	-4990.993547087905
8149,Ref.G.PT.x.PT2695.AY612637,0.05-9	01_AE	-5032.272183047759
4256,Ref.15_01B.TH.96.M169.DQ354120,0.03-3	15_01B	-4918.197435858107
771,Ref.17_BF.BO.02.BO02_BOL119.EU581827,0.04-8	F1	-4940.427384079313
1807,Ref.33_01B.MY.05.05MYKL007_1.DQ366659,0.02-3	01_AE	-4939.365907015625
8089,Ref.10_CD.TZ.96.96TZ_BF110.AF289550,0.05-9	D	-4944.673080594045
5694,Ref.12_BF.AR.99.ARMA159.AF385936,0.08-1	F1	-5006.104901494858
10332,Ref.09_cpx.CI.00.00IC_10092.AJ866553,0.1-2	A1	-5046.33292846156
13712,Ref.36_cpx.CM.00.00CMNYU830.EF087994,0.06-0	02_AG	-4868.147358156436
3131,Ref.12_BF.AR.97.A32879.AF408629,0.01-0	12_BF	-4899.439881211552
15133,Ref.B.US.98.1058_11.AY331295,0.09-0	B	-5034.598475603361
14392,Ref.11_cpx.CM.95.95CM_1816.AF492624,0.09-4	D	-5049.745657258038
13427,Ref.K.CD.97.97ZR_EQTB11.AJ249235,0.06-8	D	-4984.770916344279
14608,Ref.47_BF.ES.08.X2457_2.FJ670529,0.09-5	D	-5050.4103993110375
3752,Ref.A1.UG.92.92UG037.AB253429,0.02-5	A1	-4943.615826176809
11816,Ref.36_cpx.CM.00.00CMNYU830.EF087994,0.03-8	A1	-4820.716425805317
4148,Ref.33_01B.ID.07.JKT194_C.AB547464,0.03-3	01_AE	-4928.4603802963275
2208,Ref.44_BF.CL.00.CH80.FJ358521,0.01-6	F1	-4873.888203961922
984,Ref.11_cpx.CM.96.96CM_4496.AF492623,0.04-6	11_cpx	-4937.71383620377
1566,Ref.46_BF.BR.01.01BR087.DQ358801,0.02-1	F1	-4908.904959794971
7442,Ref.31_BC.BR.02.110PA.EF091932,0.07-1	C	-5008.795829139874
15223,Ref.C.BR.92.BR025_d.U52953,0.09-1	C	-5020.018173763489
2146,Ref.40_BF.BR.04.04BRRJ115.EU735538,0.01-6	40_BF	-4925.495240628481
1689,Ref.24_BG.CU.03.CB378.AY900574,0.02-0	24_BG	-4943.4322135475795
8528,Ref.44_BF.CL.00.CH80.FJ358521,0.07-9	F1	-5004.867821339811
1726,Ref.F1.BE.93.VI850.AF077336,0.02-0	F1	-4903.124610425552
7468,Ref.B.TH.90.BK132.AY173951,0.07-1	B	-4974.701065451045
5806,Ref.A1.UG.92.92UG037.AB253429,0.08-1	A1	-5023.278477086989
2743,Ref.18_cpx.CU.99.CU68.AY894993,0.01-2	18_cpx	-4844.76793446578
3509,Ref.25_cpx.SA.03.J11451.EU697908,0.01-9	25_cpx	-4866.8103288112725
5162,Ref.46_BF.BR.01.01BR125.DQ358802,0.08-8	F1	-5022.924545683428
9095,Ref.F2.CM.95.95CM_MP255.AJ249236,0.05-1	F2	-4903.388854184379
2595,Ref.A2.CY.94.94CY017_41.AF286237,0.01-5	A1	-4947.5633413170235
3777,Ref.C.ET.86.ETH2220.U46016,0.02-5	C	-4915.272272513962
9040,Ref.07_BC.CN.05.XJDC6441.EF368370,0.05-1	07_BC	-4958.151009025258
6410,Ref.06_cpx.AU.96.BFP90.AF064699,0.08-5	06_cpx	-4984.361790451613
13385,Ref.01_AE.AF.07.569M.GQ477441,0.06-8	01_AE	-4976.7604775067875
3801,Ref.G.KE.93.HH8793_12_1.AF061641,0.02-4	G	-4907.921507851747
7401,Ref.49_cpx.GM.03.N26677.HQ385479,0.07-0	D	-4810.002284050983
1603,Ref.14_BG.ES.00.X623.AF450097,0.02-0	14_BG	-4897.4261246453225
2064,Ref.J.CD.97.J_97DC_KTB147.EF614151,0.01-6	J	-4869.445387297888
15465,Ref.17_BF.BO.02.BO02_BOL119.EU581827,0.03-7	F1	-4904.378116128104
250,Ref.40_BF.BR.04.04BRRJ115.EU735538,0.02-9	40_BF	-4938.35144249804
12590,Ref.38_BF1.UY.04.UY04_4022.FJ213782,0.06-2	D	-4989.131368725824
1484,Ref.09_cpx.CI.00.00IC_10092.AJ866553,0.02-1	09_cpx	-4929.0464880581685
10336,Ref.J.CM.04.04CMU11421.GU237072,0.1-2	D	-4962.251890968046
11295,Ref.03_AB.RU.97.KAL153_2.AF193276,0.1-8	A1	-5024.807436519507
3311,Ref.31_BC.BR.04.04BR142.AY727527,0.01-1	C	-4929.023031301535
14469,Ref.G.PT.x.PT2695.AY612637,0.09-4	D	-5079.720035970216
3967,Ref.18_cpx.CM.97.CM53379.AF377959,0.04-5	02_AG	-4972.336123619192
6943,Ref.47_BF.ES.08.P1942.GQ372987,0.07-5	A1	-4997.2115791105625
1617,Ref.36_cpx.CM.00.00CMNYU1162.EF087995,0.02-0	02_AG	-4811.771036258115
14119,Ref.18_cpx.CU.99.CU68.AY894993,0.09-6	A1	-4994.811654085413
7084,Ref.14_BG.PT.00.00PTHDE10.GU230137,0.07-6	D	-4984.736038675629
785,Ref.13_cpx.CM.96.96CM_1849.AF460972,0.04-8	A1	-4981.021102496999
12559,Ref.03_AB.RU.97.KAL153_2.AF193276,0.06-2	A1	-4948.351243935597
8434,Ref.A1.AU.03.PS1044_Day0.DQ676872,0.07-9	A1	-4985.948453663336
404,Ref.46_BF.BR.07.07BR_FPS625.HM026456,0.02-8	F1	-4890.635774128582
3804,Ref.08_BC.CN.97.97CNGX_6F.AY008715,0.02-4	08_BC	-4905.481821234078
8718,Ref.02_AG.LR.x.POC44951.AB485636,0.05-3	02_AG	-4967.522556092727
9612,Ref.14_BG.PT.00.00PTHDE10.GU230137,0.05-4	D	-4963.272346947352
10102,Ref.15_01B.TH.96.M169.DQ354120,0.1-0	01_AE	-5035.560514674304
3876,Ref.31_BC.BR.04.04BR137.AY727526,0.02-4	C	-4937.848688569287
9296,Ref.14_BG.PT.00.00PTHDE10.GU230137,0.05-6	D	-4961.903227545897
14336,Ref.28_BF.BR.99.BREPM12817.DQ085874,0.09-7	D	-5023.323304939265
8068,Ref.J.CD.97.J_97DC_KTB147.EF614151,0.05-9	D	-4949.634952246792
7392,Ref.36_cpx.CM.00.00CMNYU830.EF087994,0.07-0	02_AG	-4886.004332844806
12992,Ref.11_cpx.CM.96.96CM_4496.AF492623,0.03-6	11_cpx	-4910.021926412751
2608,Ref.37_cpx.CM.00.00CMNYU926.EF116594,0.01-5	02_AG	-4771.982891084462
14036,Ref.14_BG.PT.00.00PTHDE10.GU230137,0.09-9	01_AE	-5077.42919551604
1808,Ref.37_cpx.CM.97.CM53392.AF377957,0.02-3	A1	-4963.313539847913
8231,Ref.C.ZA.04.04ZASK146.AY772699,0.07-8	C	-4981.140401778484
6663,Ref.13_cpx.CM.04.04CM_632_28.DQ845387,0.07-4	02_AG	-5019.434150091087
4575,Ref.31_BC.BR.04.04BR142.AY727527,0.04-2	C	-4963.670479329588
6331,Ref.H.GB.00.00GBAC4001.FJ711703,0.08-5	H	-4966.437719192689
776,Ref.46_BF.BR.01.01BR087.DQ358801,0.04-8	F1	-4936.0864793716755
4146,Ref.25_cpx.CM.06.06CM_BA_040.EU693240,0.03-3	25_cpx	-4912.625076416399
4900,Ref.D.TZ.01.A280.AY253311,0.08-9	D	-4991.144087362311
6532,Ref.06_cpx.GH.03.03GH173_06.AB286851,0.08-4	A1	-5090.900633496422
8237,Ref.38_BF1.UY.04.UY04_3987.FJ213781,0.07-8	B	-5024.085259834825
11735,Ref.23_BG.CU.03.CB118.AY900571,0.03-8	A1	-4944.930064609908
1221,Ref.J.SE.93.SE9280_7887.AF082394,0.02-7	J	-4898.966406881998
11053,Ref.31_BC.BR.04.04BR142.AY727527,0.1-6	C	-5086.66074880449
11557,Ref.14_BG.ES.00.X623.AF450097,0.04-3	D	-4945.451937021046
4614,Ref.22_01A1.CM.01.01CM_0001BBY.AY371159,0.04-1	01_AE	-4829.188517641989
10426,Ref.28_BF.BR.99.BREPM12313.DQ085872,0.1-2	D	-5074.983490448367
13462,Ref.22_01A1.CM.01.01CM_0001BBY.AY371159,0.06-1	A1	-4856.256960664671
6729,Ref.40_BF.BR.04.04BRSQ46.EU735540,0.07-4	B	-4990.1586571801145
3452,Ref.38_BF1.UY.05.UY05_4752.FJ213780,0.01-8	38_BF1	-4898.491698693041
9352,Ref.33_01B.MY.05.05MYKL045_1.DQ366662,0.05-7	01_AE	-5018.439184665251
10969,Ref.A2.CY.94.94CY017_41.AF286237,0.1-6	A1	-5101.338772301823
3180,Ref.26_AU.CD.02.02CD_KS069.FM877780,0.01-1	A1	-4923.678289386046
14929,Ref.03_AB.RU.97.KAL153_2.AF193276,0.09-3	D	-5001.466285733943
9293,Ref.12_BF.AR.97.A32879.AF408629,0.05-6	12_BF	-4969.698452591733
13403,Ref.G.NG.92.92NG083.U88826,0.06-8	A1	-4974.585966534395
15660,Ref.A2.CD.97.97CDKTB48.AF286238,0.06-7	A1	-5004.613941329033
10654,Ref.19_cpx.CU.99.CU29.AY588971,0.1-4	D	-5038.293929332163
733,Ref.B.NL.00.671_00T36.AY423387,0.04-8	B	-4948.438495230452
1857,Ref.H.CF.90.056.AF005496,0.02-3	H	-4901.605999780006
12976,Ref.26_AU.CD.02.02CD_KS069.FM877780,0.03-6	A1	-4963.870161910062
8992,Ref.46_BF.BR.01.01BR087.DQ358801,0.05-0	F1	-4968.642070970196
5980,Ref.38_BF1.UY.05.UY05_4752.FJ213780,0.08-0	D	-5027.081864483632
12334,Ref.J.CD.97.J_97DC_KTB147.EF614151,0.03-2	B	-4913.069025603964
6962,Ref.J.CD.97.J_97DC_KTB147.EF614151,0.07-6	C	-4969.951758553457
7426,Ref.23_BG.CU.03.CB347.AY900572,0.07-1	01_AE	-5021.162199524968
78,Ref.35_AD.AF.05.05AF094.EF158040,0.06-9	A1	-5013.776248268542
6391,Ref.39_BF.BR.03.03BRRJ103.EU735534,0.08-5	B	-5002.542885416396
14788,Ref.09_cpx.GH.96.96GH2911.AY093605,0.09-2	D	-5013.296320038076
1951,Ref.C.BR.92.BR025_d.U52953,0.02-2	C	-4913.647368413512
13623,Ref.07_BC.CN.05.XJDC6431_2.EF368372,0.06-0	07_BC	-5002.204216064946
11352,Ref.38_BF1.UY.05.UY05_4752.FJ213780,0.1-8	D	-5050.097628525191
4793,Ref.04_cpx.GR.97.GR84_97PVMY.AF119819,0.04-0	02_AG	-4991.51265358501
1858,Ref.F2.CM.97.CM53657.AF377956,0.02-3	F2	-4886.693292350479
3269,Ref.24_BG.CU.03.CB378.AY900574,0.01-1	24_BG	-4928.715921514403
6754,Ref.A1.UG.92.92UG037.AB253429,0.07-4	A1	-5013.816110525848
6223,Ref.D.CD.83.ELI.K03454,0.08-6	D	-4978.49619493375
13516,Ref.A1.RW.92.92RW008.AB253421,0.06-1	A1	-5004.8677615887445
4745,Ref.04_cpx.CY.94.94CY032_3.AF049337,0.04-0	04_cpx	-4984.183857966465
4909,Ref.H.GB.00.00GBAC4001.FJ711703,0.08-9	H	-4962.420230064139
11957,Ref.20_BG.CU.99.Cu103.AY586545,0.03-9	20_BG	-4913.8002343491335
13437,Ref.35_AD.AF.05.05AF095.EF158041,0.06-1	A1	-4977.8695750055995
5222,Ref.29_BF.BR.99.BREPM11948.DQ085871,0.06-3	D	-5006.680162679471
8327,Ref.45_cpx.CD.97.97CD_MBFE185.FN392874,0.07-8	A1	-5021.039212559031
1093,Ref.21_A2D.KE.99.KSM4001.AF457072,0.04-6	D	-4943.968671571919
10733,Ref.A2.CM.01.01CM_1445MV.GU201516,0.1-4	D	-5054.074168113815
2942,Ref.K.CM.96.96CM_MP535.AJ249239,0.01-3	K	-4860.680151831531
7741,Ref.32_06A1.EE.01.EE0369.AY535660,0.07-2	A1	-5025.963379172159
9021,Ref.C.ZA.04.04ZASK146.AY772699,0.05-1	C	-4932.583865322484
1998,Ref.28_BF.BR.99.BREPM12609.DQ085873,0.02-2	28_BF	-4947.238670787915
2578,Ref.10_CD.TZ.96.96TZ_BF061.AF289548,0.01-5	10_CD	-4899.2197841120715
15764,Ref.02_AG.CM.99.pBD6_15.AY271690,0.06-7	02_AG	-5032.1276302409
14680,Ref.46_BF.BR.01.01BR087.DQ358801,0.09-5	F1	-5037.314575848184
4816,Ref.H.BE.93.VI991.AF190127,0.04-0	H	-4939.2338456754605
842,Ref.D.CM.01.01CM_4412HAL.AY371157,0.04-7	D	-4793.51392279544
