reference	major subtype found	log_likelihood of the reference subtype
5551,Ref.38_BF1.UY.04.UY04_3987.FJ213781,0.08-2	38_BF1	-5518.725235524457
468,Ref.49_cpx.GM.97.N28353.HQ385478,0.02-8	49_cpx	-3490.439763575317
11043,Ref.19_cpx.CU.99.CU7.AY894994,0.1-6	19_cpx	-5901.54246591902
6889,Ref.07_BC.CN.98.98CN009.AF286230,0.07-5	07_BC	-5192.363763485296
11625,Ref.G.PT.x.PT2695.AY612637,0.04-3	G	-4478.158745778158
9124,Ref.A1.UG.92.92UG037.AB253429,0.05-1	A1	-4808.763398495498
6742,Ref.46_BF.BR.01.01BR125.DQ358802,0.07-4	46_BF	-5338.298306070149
5835,Ref.A2.CM.01.01CM_1445MV.GU201516,0.08-1	A2	-5582.767067133564
12013,Ref.04_cpx.CY.94.94CY032_3.AF049337,0.03-0	04_cpx	-3906.752868138106
11708,Ref.31_BC.BR.02.110PA.EF091932,0.03-8	31_BC	-4067.8036672817047
4618,Ref.11_cpx.CM.96.96CM_4496.AF492623,0.04-1	11_cpx	-4419.079101322133
15505,Ref.38_BF1.UY.04.UY04_3987.FJ213781,0.06-4	38_BF1	-4987.197574023558
10586,Ref.23_BG.CU.03.CB347.AY900572,0.1-4	23_BG	-5978.301002488995
6999,Ref.49_cpx.GM.02.N18380.HQ385477,0.07-6	49_cpx	-5171.03325564658
6896,Ref.28_BF.BR.99.BREPM12609.DQ085873,0.07-5	28_BF	-5438.794074563198
5755,Ref.A2.CY.94.94CY017_41.AF286237,0.08-1	A2	-5568.710716939348
11435,Ref.13_cpx.CM.02.02CM_A1394.DQ845388,0.04-4	13_cpx	-4468.80992859601
11473,Ref.11_cpx.CM.97.MP818.AJ291718,0.04-4	11_cpx	-4451.190558251012
4250,Ref.24_BG.ES.08.X2456_2.FJ670526,0.03-3	24_BG	-4072.2678251029106
635,Ref.H.BE.93.VI997.AF190128,0.04-8	H	-4579.43253833202
8727,Ref.36_cpx.CM.00.00CMNYU1162.EF087995,0.05-3	36_cpx	-4684.642878893759
5492,Ref.F2.CM.97.CM53657.AF377956,0.08-3	F2	-5393.992753354355
3703,Ref.33_01B.MY.05.05MYKL007_1.DQ366659,0.02-5	33_01B	-3663.5067512962023
14868,Ref.31_BC.BR.02.110PA.EF091932,0.09-3	31_BC	-5736.203912581618
5459,Ref.42_BF.LU.03.luBF_05_03.EU170155,0.08-3	42_BF	-5443.603098387445
437,Ref.B.FR.83.HXB2_LAI_IIIB_BRU.K03455,0.02-8	B	-3553.147514889486
372,Ref.F2.CM.02.02CM_0016BBY.AY371158,0.02-8	F2	-3509.654290439209
11348,Ref.18_cpx.CU.99.CU14.AY586541,0.1-8	18_cpx	-5875.310124077803
3307,Ref.A2.CM.01.01CM_1445MV.GU201516,0.01-1	A2	-3481.3409652996493
3968,Ref.A2.CD.97.97CDKTB48.AF286238,0.04-5	A2	-4511.249860334703
4099,Ref.47_BF.ES.08.P1942.GQ372987,0.04-5	47_BF	-4428.884826214294
3978,Ref.02_AG.LR.x.POC44951.AB485636,0.04-5	02_AG	-4341.306217384882
2652,Ref.36_cpx.CM.00.00CMNYU830.EF087994,0.01-5	36_cpx	-3298.173647449143
9096,Ref.06_cpx.AU.96.BFP90.AF064699,0.05-1	06_cpx	-4704.152239081309
12385,Ref.D.CD.83.ELI.K03454,0.03-2	D	-4094.2173543481545
3563,Ref.42_BF.LU.03.luBF_05_03.EU170155,0.01-9	42_BF	-3183.503448353192
10391,Ref.B.FR.83.HXB2_LAI_IIIB_BRU.K03455,0.1-2	B	-5805.919597821715
10137,Ref.D.UG.94.94UG114.U88824,0.1-3	D	-5874.0091166967295
93,Ref.40_BF.BR.04.04BRSQ46.EU735540,0.06-9	40_BF	-5123.802765017725
442,Ref.43_02G.SA.03.J11243.EU697907,0.02-8	43_02G	-3686.388088144392
10661,Ref.45_cpx.CM.97.97CM_MP814.FN392876,0.1-4	45_cpx	-6028.36120299323
3047,Ref.F2.CM.95.95CM_MP257.AJ249237,0.01-0	F2	-3296.9871876434336
9894,Ref.K.CM.96.96CM_MP535.AJ249239,0.1-1	K	-6163.325353292992
14432,Ref.06_cpx.GH.03.03GH173_06.AB286851,0.09-4	06_cpx	-5906.96707486971
4050,Ref.04_cpx.GR.91.GR11_97PVCH.AF119820,0.04-5	04_cpx	-4487.825220176724
10371,Ref.B.NL.00.671_00T36.AY423387,0.1-2	B	-5861.783198264113
6503,Ref.D.UG.94.94UG114.U88824,0.08-4	D	-5371.990608413034
5431,Ref.13_cpx.CM.02.02CM_A1394.DQ845388,0.08-3	13_cpx	-5595.727745335747
5388,Ref.31_BC.BR.02.110PA.EF091932,0.08-3	31_BC	-5577.5902207068775
2858,Ref.11_cpx.CM.95.95CM_1816.AF492624,0.01-3	11_cpx	-3462.1593406085035
3029,Ref.13_cpx.CM.04.04CM_632_28.DQ845387,0.01-0	13_cpx	-3469.876939141427
1203,Ref.11_cpx.CM.97.MP818.AJ291718,0.02-7	11_cpx	-3750.8608788197375
12935,Ref.05_DF.ES.99.X492.AY227107,0.03-5	05_DF	-4087.0716007230303
8551,Ref.21_A2D.KE.99.KER2003.AF457051,0.05-2	21_A2D	-4737.080058510859
9652,Ref.11_cpx.CM.95.95CM_1816.AF492624,0.05-5	11_cpx	-4782.253763928074
103,Ref.F1.FR.96.96FR_MP411.AJ249238,0.06-9	F1	-5051.90935094317
3142,Ref.34_01B.TH.99.OUR2478P.EF165541,0.01-0	34_01B	-2851.682269226037
9933,Ref.05_DF.ES.99.X492.AY227107,0.1-1	05_DF	-5752.284833008179
3264,Ref.02_AG.NG.x.IBNG.L39106,0.01-1	02_AG	-3222.4373053074146
2160,Ref.46_BF.BR.01.01BR125.DQ358802,0.01-6	46_BF	-3346.6323861257215
7811,Ref.33_01B.MY.05.05MYKL007_1.DQ366659,0.07-3	33_01B	-5302.551750431592
12061,Ref.04_cpx.GR.97.GR84_97PVMY.AF119819,0.03-0	04_cpx	-4214.2741962047185
10842,Ref.K.CM.96.96CM_MP535.AJ249239,0.1-7	K	-6080.265013380137
9556,Ref.H.BE.93.VI991.AF190127,0.05-4	H	-4847.958511851201
13884,Ref.43_02G.SA.03.J11223.EU697904,0.09-8	43_02G	-5571.067276034349
10443,Ref.C.ZA.04.04ZASK146.AY772699,0.1-5	C	-5860.024795477658
15296,Ref.10_CD.TZ.96.96TZ_BF071.AF289549,0.09-1	10_CD	-5808.024339337384
13409,Ref.05_DF.ES.99.X492.AY227107,0.06-8	05_DF	-5064.987909701706
6947,Ref.13_cpx.CM.96.96CM_1849.AF460972,0.07-5	13_cpx	-5295.611023022064
4271,Ref.04_cpx.CY.94.94CY032_3.AF049337,0.03-4	04_cpx	-3974.1517064920245
11842,Ref.05_DF.BE.93.VI961.AF076998,0.03-8	05_DF	-4061.7508075765236
3920,Ref.10_CD.TZ.96.96TZ_BF071.AF289549,0.02-4	10_CD	-3784.2212888878303
14963,Ref.45_cpx.CD.97.97CD_MBFE185.FN392874,0.09-3	45_cpx	-5696.486549168292
8983,Ref.39_BF.BR.04.04BRRJ179.EU735535,0.05-0	39_BF	-4769.988944606792
11637,Ref.F1.FR.96.96FR_MP411.AJ249238,0.04-3	F1	-4422.265550117416
9930,Ref.38_BF1.UY.05.UY05_4752.FJ213780,0.1-1	38_BF1	-5855.30224367874
3753,Ref.H.CF.90.056.AF005496,0.02-5	H	-3890.720225302251
7870,Ref.10_CD.TZ.96.96TZ_BF071.AF289549,0.07-3	10_CD	-5292.565709544675
3461,Ref.C.ET.86.ETH2220.U46016,0.01-8	C	-3535.6303523215915
1131,Ref.D.UG.94.94UG114.U88824,0.02-7	D	-3829.5567227660795
7623,Ref.F1.FI.93.FIN9363.AF075703,0.07-2	F1	-5170.261372357563
8573,Ref.45_cpx.GA.97.97GA_TB45.FN392877,0.05-2	45_cpx	-4839.857845259448
8425,Ref.G.BE.96.DRCBL.AF084936,0.07-9	G	-5309.915348518625
6745,Ref.24_BG.CU.03.CB378.AY900574,0.07-4	24_BG	-5188.580515342348
14986,Ref.38_BF1.UY.05.UY05_4752.FJ213780,0.09-3	38_BF1	-5742.02660930949
524,Ref.10_CD.TZ.96.96TZ_BF061.AF289548,0.04-9	10_CD	-4451.201999099008
4666,Ref.31_BC.BR.04.04BR137.AY727526,0.04-1	31_BC	-4412.969471437388
9534,Ref.06_cpx.GH.03.03GH173_06.AB286851,0.05-4	06_cpx	-4746.19879519124
14620,Ref.31_BC.BR.04.04BR137.AY727526,0.09-5	31_BC	-5806.522703178688
10720,Ref.38_BF1.UY.05.UY05_4752.FJ213780,0.1-4	38_BF1	-6059.198055728815
4150,Ref.B.TH.90.BK132.AY173951,0.03-3	B	-3997.344269845939
12975,Ref.21_A2D.KE.99.KER2003.AF457051,0.03-6	21_A2D	-4059.8743174517963
9431,Ref.24_BG.CU.03.CB378.AY900574,0.05-7	24_BG	-4666.871242716488
9340,Ref.A2.CD.97.97CDKTB48.AF286238,0.05-7	A2	-4858.143983716329
11983,Ref.49_cpx.GM.03.N26677.HQ385479,0.03-9	49_cpx	-3929.6812269298402
1735,Ref.K.CD.97.97ZR_EQTB11.AJ249235,0.02-0	K	-3937.4481151457517
13961,Ref.18_cpx.CU.99.CU68.AY894993,0.09-9	18_cpx	-5701.264892187272
12956,Ref.23_BG.CU.03.CB347.AY900572,0.03-6	23_BG	-4184.230598557018
13493,Ref.05_DF.BE.x.VI1310.AF193253,0.06-1	05_DF	-5052.124035656179
5269,Ref.C.BR.92.BR025_d.U52953,0.06-3	C	-5051.968958084628
1807,Ref.33_01B.MY.05.05MYKL007_1.DQ366659,0.02-3	33_01B	-3667.3763755500136
4331,Ref.29_BF.BR.01.BREPM16704.DQ085876,0.03-4	29_BF	-4183.463275513524
3493,Ref.18_cpx.CM.97.CM53379.AF377959,0.01-9	18_cpx	-3442.549401110027
5006,Ref.38_BF1.UY.04.UY04_4022.FJ213782,0.08-9	38_BF1	-5470.1942082089245
11408,Ref.22_01A1.CM.01.01CM_0001BBY.AY371159,0.04-4	22_01A1	-4335.234904671445
507,Ref.25_cpx.SA.03.J11451.EU697908,0.04-9	25_cpx	-4509.811685410299
8429,Ref.C.BR.92.BR025_d.U52953,0.07-9	C	-5332.21074494731
15710,Ref.19_cpx.CU.99.CU29.AY588971,0.06-7	19_cpx	-5104.303934747495
14536,Ref.23_BG.CU.03.CB347.AY900572,0.09-5	23_BG	-5870.63179369972
14253,Ref.25_cpx.SA.03.J11451.EU697908,0.09-7	25_cpx	-5754.207980771578
2743,Ref.18_cpx.CU.99.CU68.AY894993,0.01-2	18_cpx	-3324.638241670177
1845,Ref.20_BG.CU.99.Cu103.AY586545,0.02-3	20_BG	-3389.716030427931
14390,Ref.08_BC.CN.97.97CNGX_6F.AY008715,0.09-4	08_BC	-5765.086937515339
8011,Ref.45_cpx.CD.97.97CD_MBFE185.FN392874,0.05-8	45_cpx	-4784.956031107516
7624,Ref.33_01B.ID.07.JKT194_C.AB547464,0.07-2	33_01B	-5277.675727764617
15133,Ref.B.US.98.1058_11.AY331295,0.09-0	B	-5790.838713792278
14206,Ref.46_BF.BR.01.01BR087.DQ358801,0.09-6	46_BF	-5705.893306375486
11640,Ref.46_BF.BR.01.01BR125.DQ358802,0.04-3	46_BF	-4450.8727588558595
8807,Ref.35_AD.AF.05.05AF026.EF158043,0.05-3	35_AD	-4697.323877257205
1504,Ref.06_cpx.EE.01.EE0359.AY535659,0.02-1	06_cpx	-3811.7176214448914
14282,Ref.09_cpx.CI.00.00IC_10092.AJ866553,0.09-7	09_cpx	-5985.355965381559
11410,Ref.07_BC.CN.05.XJDC6441.EF368370,0.04-4	07_BC	-4247.666660439041
10826,Ref.06_cpx.EE.01.EE0359.AY535659,0.1-7	06_cpx	-5964.168705893512
11440,Ref.26_AU.CD.02.02CD_MBTB047.FM877782,0.04-4	26_AU	-4532.5589115999255
10377,Ref.20_BG.CU.99.Cu103.AY586545,0.1-2	20_BG	-6015.377427587672
5464,Ref.40_BF.BR.04.04BRRJ115.EU735538,0.08-3	40_BF	-5538.950590320977
1944,Ref.09_cpx.US.99.99DE4057.AY093607,0.02-2	09_cpx	-3299.1564335346293
5531,Ref.29_BF.BR.02.BREPM119.AY771590,0.08-2	29_BF	-5632.0791351706675
3311,Ref.31_BC.BR.04.04BR142.AY727527,0.01-1	31_BC	-3249.95606896866
6697,Ref.D.CD.83.ELI.K03454,0.07-4	D	-5170.458530322759
5694,Ref.12_BF.AR.99.ARMA159.AF385936,0.08-1	12_BF	-5473.393508840287
11788,Ref.25_cpx.SA.03.J11233.EU697906,0.03-8	25_cpx	-4169.281781449438
4256,Ref.15_01B.TH.96.M169.DQ354120,0.03-3	15_01B	-3923.3794362691015
5463,Ref.G.PT.x.PT2695.AY612637,0.08-3	G	-5631.97613839646
984,Ref.11_cpx.CM.96.96CM_4496.AF492623,0.04-6	11_cpx	-4473.725318184809
2865,Ref.38_BF1.UY.04.UY04_3987.FJ213781,0.01-3	38_BF1	-3436.030191792615
15445,Ref.H.CF.90.056.AF005496,0.03-7	H	-4227.9244401995375
10963,Ref.D.CD.83.ELI.K03454,0.1-6	D	-5738.600235109025
2208,Ref.44_BF.CL.00.CH80.FJ358521,0.01-6	44_BF	-3422.2187141684994
8353,Ref.05_DF.ES.99.X492.AY227107,0.07-8	05_DF	-5358.19313376128
771,Ref.17_BF.BO.02.BO02_BOL119.EU581827,0.04-8	17_BF	-4425.984089093824
7442,Ref.31_BC.BR.02.110PA.EF091932,0.07-1	31_BC	-5370.8534070978185
9095,Ref.F2.CM.95.95CM_MP255.AJ249236,0.05-1	F2	-4749.075022166911
13366,Ref.09_cpx.GH.96.96GH2911.AY093605,0.06-8	09_cpx	-4958.92185626835
5741,Ref.04_cpx.GR.97.GR84_97PVMY.AF119819,0.08-1	04_cpx	-5610.082482740639
3509,Ref.25_cpx.SA.03.J11451.EU697908,0.01-9	25_cpx	-3446.865018924306
1726,Ref.F1.BE.93.VI850.AF077336,0.02-0	F1	-3759.2464069104503
9040,Ref.07_BC.CN.05.XJDC6441.EF368370,0.05-1	07_BC	-4597.980631350142
8089,Ref.10_CD.TZ.96.96TZ_BF110.AF289550,0.05-9	10_CD	-4726.429994377348
14603,Ref.A2.CY.94.94CY017_41.AF286237,0.09-5	A2	-5823.934256458052
14392,Ref.11_cpx.CM.95.95CM_1816.AF492624,0.09-4	11_cpx	-5801.694570176066
13560,Ref.18_cpx.CU.99.CU14.AY586541,0.06-1	18_cpx	-5014.622141801603
11816,Ref.36_cpx.CM.00.00CMNYU830.EF087994,0.03-8	36_cpx	-4100.570420745864
10141,Ref.14_BG.ES.00.X605.AF450096,0.1-3	14_BG	-6029.543696372094
2146,Ref.40_BF.BR.04.04BRRJ115.EU735538,0.01-6	40_BF	-3352.2264924197257
15223,Ref.C.BR.92.BR025_d.U52953,0.09-1	C	-5756.199887668789
1566,Ref.46_BF.BR.01.01BR087.DQ358801,0.02-1	46_BF	-3735.94692662051
10332,Ref.09_cpx.CI.00.00IC_10092.AJ866553,0.1-2	09_cpx	-6228.25631939239
13385,Ref.01_AE.AF.07.569M.GQ477441,0.06-8	01_AE	-4888.736950142663
10818,Ref.17_BF.AR.02.AR02_ARG1139.EU581825,0.1-7	17_BF	-5980.254219295237
13712,Ref.36_cpx.CM.00.00CMNYU830.EF087994,0.06-0	36_cpx	-4929.386108438663
8149,Ref.G.PT.x.PT2695.AY612637,0.05-9	G	-4854.518806579291
3777,Ref.C.ET.86.ETH2220.U46016,0.02-5	C	-3871.2546009018993
5806,Ref.A1.UG.92.92UG037.AB253429,0.08-1	A1	-5574.257285208671
8698,Ref.29_BF.BR.99.BREPM11948.DQ085871,0.05-3	29_BF	-4835.899102850214
7468,Ref.B.TH.90.BK132.AY173951,0.07-1	B	-5153.514512238118
10336,Ref.J.CM.04.04CMU11421.GU237072,0.1-2	J	-5764.959937046764
6410,Ref.06_cpx.AU.96.BFP90.AF064699,0.08-5	06_cpx	-5501.370229948972
3801,Ref.G.KE.93.HH8793_12_1.AF061641,0.02-4	G	-3815.4955281924913
8434,Ref.A1.AU.03.PS1044_Day0.DQ676872,0.07-9	A1	-5234.035034380073
1221,Ref.J.SE.93.SE9280_7887.AF082394,0.02-7	J	-3884.976158573372
5162,Ref.46_BF.BR.01.01BR125.DQ358802,0.08-8	46_BF	-5658.288539904172
12559,Ref.03_AB.RU.97.KAL153_2.AF193276,0.06-2	03_AB	-4915.306187434742
15465,Ref.17_BF.BO.02.BO02_BOL119.EU581827,0.03-7	17_BF	-3977.123296131201
250,Ref.40_BF.BR.04.04BRRJ115.EU735538,0.02-9	40_BF	-3690.110849955155
3967,Ref.18_cpx.CM.97.CM53379.AF377959,0.04-5	18_cpx	-4457.60392008562
13427,Ref.K.CD.97.97ZR_EQTB11.AJ249235,0.06-8	K	-5095.315720413918
785,Ref.13_cpx.CM.96.96CM_1849.AF460972,0.04-8	13_cpx	-4437.295748899121
3131,Ref.12_BF.AR.97.A32879.AF408629,0.01-0	12_BF	-3158.7459361967058
14608,Ref.47_BF.ES.08.X2457_2.FJ670529,0.09-5	47_BF	-5732.695939470377
1617,Ref.36_cpx.CM.00.00CMNYU1162.EF087995,0.02-0	36_cpx	-3646.791680094922
3752,Ref.A1.UG.92.92UG037.AB253429,0.02-5	A1	-3760.1233378410884
14119,Ref.18_cpx.CU.99.CU68.AY894993,0.09-6	18_cpx	-5711.707309022421
12590,Ref.38_BF1.UY.04.UY04_4022.FJ213782,0.06-2	38_BF1	-4993.763743707904
9612,Ref.14_BG.PT.00.00PTHDE10.GU230137,0.05-4	14_BG	-4664.027663978002
11295,Ref.03_AB.RU.97.KAL153_2.AF193276,0.1-8	03_AB	-6130.187449361929
404,Ref.46_BF.BR.07.07BR_FPS625.HM026456,0.02-8	46_BF	-3714.8614154144043
8528,Ref.44_BF.CL.00.CH80.FJ358521,0.07-9	44_BF	-5367.654117853627
6943,Ref.47_BF.ES.08.P1942.GQ372987,0.07-5	47_BF	-5273.358744373276
7401,Ref.49_cpx.GM.03.N26677.HQ385479,0.07-0	49_cpx	-5061.335398238478
7084,Ref.14_BG.PT.00.00PTHDE10.GU230137,0.07-6	14_BG	-5161.848674684861
7392,Ref.36_cpx.CM.00.00CMNYU830.EF087994,0.07-0	36_cpx	-5189.967135864819
1484,Ref.09_cpx.CI.00.00IC_10092.AJ866553,0.02-1	09_cpx	-3978.169278761721
2064,Ref.J.CD.97.J_97DC_KTB147.EF614151,0.01-6	J	-3613.982832069281
9296,Ref.14_BG.PT.00.00PTHDE10.GU230137,0.05-6	14_BG	-4687.930315424873
11735,Ref.23_BG.CU.03.CB118.AY900571,0.03-8	23_BG	-4136.081403839575
3804,Ref.08_BC.CN.97.97CNGX_6F.AY008715,0.02-4	08_BC	-3329.8392471730676
14469,Ref.G.PT.x.PT2695.AY612637,0.09-4	G	-5709.99883620443
1603,Ref.14_BG.ES.00.X623.AF450097,0.02-0	14_BG	-3562.9278679334047
8718,Ref.02_AG.LR.x.POC44951.AB485636,0.05-3	02_AG	-4682.237702266842
4614,Ref.22_01A1.CM.01.01CM_0001BBY.AY371159,0.04-1	22_01A1	-4449.021909227755
3641,Ref.35_AD.AF.05.05AF095.EF158041,0.02-5	35_AD	-3601.9360643433924
8237,Ref.38_BF1.UY.04.UY04_3987.FJ213781,0.07-8	38_BF1	-5308.531413612471
2608,Ref.37_cpx.CM.00.00CMNYU926.EF116594,0.01-5	37_cpx	-3458.3716395352535
11557,Ref.14_BG.ES.00.X623.AF450097,0.04-3	14_BG	-4268.109534602425
4146,Ref.25_cpx.CM.06.06CM_BA_040.EU693240,0.03-3	25_cpx	-4240.47341633975
2595,Ref.A2.CY.94.94CY017_41.AF286237,0.01-5	A2	-3521.328819881891
11509,Ref.49_cpx.GM.03.N26677.HQ385479,0.04-4	49_cpx	-4241.846340908229
10654,Ref.19_cpx.CU.99.CU29.AY588971,0.1-4	19_cpx	-6036.28160339128
2673,Ref.21_A2D.KE.99.KSM4001.AF457072,0.01-5	21_A2D	-3342.1672295046214
10238,Ref.43_02G.SA.03.J11243.EU697907,0.1-3	43_02G	-5987.7141954168665
4900,Ref.D.TZ.01.A280.AY253311,0.08-9	D	-5390.719006804648
1808,Ref.37_cpx.CM.97.CM53392.AF377957,0.02-3	37_cpx	-3995.541831364025
7426,Ref.23_BG.CU.03.CB347.AY900572,0.07-1	23_BG	-5404.286531782737
9222,Ref.24_BG.CU.03.CB471.AY900575,0.05-6	24_BG	-4635.698312336874
10426,Ref.28_BF.BR.99.BREPM12313.DQ085872,0.1-2	28_BF	-6091.862064252212
14336,Ref.28_BF.BR.99.BREPM12817.DQ085874,0.09-7	28_BF	-5635.300631282527
11053,Ref.31_BC.BR.04.04BR142.AY727527,0.1-6	31_BC	-6078.139337165221
6754,Ref.A1.UG.92.92UG037.AB253429,0.07-4	A1	-5253.019373403707
9352,Ref.33_01B.MY.05.05MYKL045_1.DQ366662,0.05-7	33_01B	-4796.66700392667
15660,Ref.A2.CD.97.97CDKTB48.AF286238,0.06-7	A2	-5133.420934760179
4575,Ref.31_BC.BR.04.04BR142.AY727527,0.04-2	31_BC	-4370.613999373354
14929,Ref.03_AB.RU.97.KAL153_2.AF193276,0.09-3	03_AB	-5777.452494560961
11148,Ref.46_BF.BR.07.07BR_FPS625.HM026456,0.1-9	46_BF	-6047.702968777869
6331,Ref.H.GB.00.00GBAC4001.FJ711703,0.08-5	H	-5297.720909925665
3180,Ref.26_AU.CD.02.02CD_KS069.FM877780,0.01-1	26_AU	-3536.49266065748
6057,Ref.04_cpx.GR.97.GR84_97PVMY.AF119819,0.08-7	04_cpx	-5601.538065416412
1857,Ref.H.CF.90.056.AF005496,0.02-3	H	-3822.4330913266526
3876,Ref.31_BC.BR.04.04BR137.AY727526,0.02-4	31_BC	-3754.179580886079
276,Ref.A1.UG.92.92UG037.AB253429,0.02-9	A1	-3786.795047725203
776,Ref.46_BF.BR.01.01BR087.DQ358801,0.04-8	46_BF	-4406.433985652304
8327,Ref.45_cpx.CD.97.97CD_MBFE185.FN392874,0.07-8	45_cpx	-5306.662893485884
3715,Ref.40_BF.BR.05.05BRRJ200.EU735539,0.02-5	40_BF	-3722.3690194280794
15390,Ref.26_AU.CD.02.02CD_MBTB047.FM877782,0.03-7	26_AU	-4231.215360245877
3452,Ref.38_BF1.UY.05.UY05_4752.FJ213780,0.01-8	38_BF1	-3415.289866123296
8068,Ref.J.CD.97.J_97DC_KTB147.EF614151,0.05-9	J	-4864.82382412197
6532,Ref.06_cpx.GH.03.03GH173_06.AB286851,0.08-4	06_cpx	-5818.842486581141
10733,Ref.A2.CM.01.01CM_1445MV.GU201516,0.1-4	A2	-5961.155030210598
178,Ref.26_AU.CD.02.02CD_KS069.FM877780,0.02-9	26_AU	-3891.0611008514293
10102,Ref.15_01B.TH.96.M169.DQ354120,0.1-0	15_01B	-5964.207556646352
12334,Ref.J.CD.97.J_97DC_KTB147.EF614151,0.03-2	J	-4269.569189703281
5980,Ref.38_BF1.UY.05.UY05_4752.FJ213780,0.08-0	38_BF1	-5542.7120280116715
6663,Ref.13_cpx.CM.04.04CM_632_28.DQ845387,0.07-4	13_cpx	-5411.475240181772
4148,Ref.33_01B.ID.07.JKT194_C.AB547464,0.03-3	33_01B	-4049.2417761146617
8992,Ref.46_BF.BR.01.01BR087.DQ358801,0.05-0	46_BF	-4646.674354812947
13462,Ref.22_01A1.CM.01.01CM_0001BBY.AY371159,0.06-1	22_01A1	-4909.73978672623
15044,Ref.07_BC.CN.05.XJDC6441.EF368370,0.09-0	07_BC	-5673.605444034645
6491,Ref.01_AE.CN.05.05GX001.GU564221,0.08-4	01_AE	-5433.952245903575
10314,Ref.19_cpx.CU.99.CU38.AY588970,0.1-2	19_cpx	-6050.885343562211
1951,Ref.C.BR.92.BR025_d.U52953,0.02-2	C	-3825.0344479834926
15179,Ref.H.GB.00.00GBAC4001.FJ711703,0.09-1	H	-5596.280595926183
6307,Ref.21_A2D.KE.99.KSM4001.AF457072,0.08-6	21_A2D	-5510.558577306869
15275,Ref.20_BG.CU.99.Cu103.AY586545,0.09-1	20_BG	-5626.126946650036
9293,Ref.12_BF.AR.97.A32879.AF408629,0.05-6	12_BF	-4698.748585555121
6967,Ref.C.ZA.04.04ZASK146.AY772699,0.07-6	C	-5308.5375413644615
5864,Ref.A2.CD.97.97CDKTB48.AF286238,0.08-0	A2	-5484.523525307614
10969,Ref.A2.CY.94.94CY017_41.AF286237,0.1-6	A2	-5969.2473222727895
11352,Ref.38_BF1.UY.05.UY05_4752.FJ213780,0.1-8	38_BF1	-5999.986440840835
14607,Ref.39_BF.BR.03.03BRRJ103.EU735534,0.09-5	39_BF	-5744.006404838179
1858,Ref.F2.CM.97.CM53657.AF377956,0.02-3	F2	-3631.6385198858766
14378,Ref.23_BG.CU.03.CB347.AY900572,0.09-4	23_BG	-5935.263943625639
2974,Ref.18_cpx.CU.99.CU14.AY586541,0.01-3	18_cpx	-3264.5793261411804
14999,Ref.A2.CM.01.01CM_1445MV.GU201516,0.09-3	A2	-5718.052116718046
