name,length,assignment,support,begin,end,type,pure,pure_support,pure_inner,pure_outer,scan_best_support,scan_assigned_support,scan_assigned_nosupport,scan_best_profile,scan_assigned_profile,crf,crf_support,crf_inner,crf_outer,crfscan_best_support,crfscan_assigned_support,crfscan_assigned_nosupport,crfscan_best_profile,crfscan_assigned_profile,major_id,minor_id
"4636",1200,"HIV-1 CRF 06_CPX",100.0,2684,3884,HIV 1,K,86.0,,,0.636,0.318,0.5,G K C K,- G - K - K,06_CPX,100.0,100.0,0.0,1.0,1.0,0.0,06_CPX,06_CPX,,
"4635",1206,"HIV-1 CRF 06_CPX",100.0,2084,3284,HIV 1,G,100.0,,,0.826,0.609,0.391,G F1 G,G - G -,06_CPX,100.0,100.0,0.0,1.0,1.0,0.0,06_CPX,06_CPX,,
"4634",1200,"HIV-1 Subtype G",100.0,3884,5084,HIV 1,G,100.0,,,1.0,0.909,0.091,G,G -,A,0.0,0.0,0.0,,,,,,,
"4800",200,"Check the report",,2684,2884,HIV 1,B,6.0,67.0,0.0,,,,,,,,,,,,,,,,
"4801",200,"Check the report",,2884,3084,HIV 1,B,47.0,64.0,11.0,,,,,,,,,,,,,,,,
"4802",200,"HIV-1 Subtype B",74.0,3084,3284,HIV 1,B,74.0,93.0,0.0,,,,,,,,,,,,,,,,
"4638",1200,"HIV-1 CRF 06_CPX",100.0,3884,5084,HIV 1,A1,50.0,,,0.545,0.409,0.364,A1 G A1 G,- A1 - G - A1 G,06_CPX,100.0,100.0,0.0,1.0,1.0,0.0,06_CPX,06_CPX,,
"4804",200,"HIV-1 Subtype B",75.0,3484,3684,HIV 1,B,75.0,52.0,39.0,,,,,,,,,,,,,,,,
"4805",200,"Check the report",,3684,3884,HIV 1,B,26.0,27.0,54.0,,,,,,,,,,,,,,,,
"4806",200,"Check the report",,3884,4084,HIV 1,B,11.0,56.0,9.0,,,,,,,,,,,,,,,,
"4807",200,"HIV-1 Subtype B",70.0,4084,4284,HIV 1,B,70.0,68.0,24.0,,,,,,,,,,,,,,,,
"4808",200,"Check the report",,4284,4484,HIV 1,B,52.0,0.0,88.0,,,,,,,,,,,,,,,,
"4809",200,"Check the report",,4484,4684,HIV 1,B,35.0,0.0,96.0,,,,,,,,,,,,,,,,
"2789",800,"Check the report",,4084,4884,HIV 1,A1,67.0,0.0,97.0,,,,,,,,,,,,,,,,
"2788",800,"Check the report",,3684,4484,HIV 1,J,93.0,0.0,100.0,,,,,,,,,,,,,,,,
"2079",197,"Check the report",,2084,2284,HIV 1,F1,40.0,42.0,53.0,,,,,,,,,,,,,,,,
"2078",200,"Check the report",,4884,5084,HIV 1,B,68.0,44.0,54.0,,,,,,,,,,,,,,,,
"2073",200,"Check the report",,3884,4084,HIV 1,D,10.0,37.0,35.0,,,,,,,,,,,,,,,,
"2072",200,"HIV-1 Subtype F (F1)",81.0,3684,3884,HIV 1,F1,81.0,65.0,30.0,,,,,,,,,,,,,,,,
"2071",200,"Check the report",,3484,3684,HIV 1,B,23.0,6.0,78.0,,,,,,,,,,,,,,,,
"2070",200,"HIV-1 Subtype B",72.0,3284,3484,HIV 1,B,72.0,81.0,10.0,,,,,,,,,,,,,,,,
"2077",200,"Check the report",,4684,4884,HIV 1,A1,0.0,0.0,19.0,,,,,,,,,,,,,,,,
"2076",200,"HIV-1 Subtype B",96.0,4484,4684,HIV 1,B,96.0,74.0,22.0,,,,,,,,,,,,,,,,
"2075",200,"Check the report",,4284,4484,HIV 1,B,68.0,42.0,51.0,,,,,,,,,,,,,,,,
"2074",200,"Check the report",,4084,4284,HIV 1,B,60.0,47.0,42.0,,,,,,,,,,,,,,,,
"3223",200,"Check the report",,4084,4284,HIV 1,K,30.0,5.0,86.0,,,,,,,,,,,,,,,,
"3222",200,"Check the report",,3884,4084,HIV 1,F1,53.0,16.0,70.0,,,,,,,,,,,,,,,,
"7081",400,"Check the report",,2484,2884,HIV 1,H,90.0,7.0,92.0,,,,,,,,,,,,,,,,
"7080",400,"HIV-1 Subtype H",96.0,2284,2684,HIV 1,H,96.0,58.0,40.0,,,,,,,,,,,,,,,,
"7083",400,"Check the report",,2884,3284,HIV 1,J,80.0,0.0,100.0,,,,,,,,,,,,,,,,
"7082",400,"Check the report",,2684,3084,HIV 1,J,77.0,0.0,100.0,,,,,,,,,,,,,,,,
"7085",400,"Check the report",,3284,3684,HIV 1,J,54.0,0.0,100.0,,,,,,,,,,,,,,,,
"7084",400,"Check the report",,3084,3484,HIV 1,G,28.0,0.0,60.0,,,,,,,,,,,,,,,,
"7087",400,"Check the report",,3684,4084,HIV 1,J,59.0,0.0,100.0,,,,,,,,,,,,,,,,
"7086",400,"Check the report",,3484,3884,HIV 1,J,94.0,0.0,100.0,,,,,,,,,,,,,,,,
"7089",400,"Check the report",,4084,4484,HIV 1,G,40.0,0.0,92.0,,,,,,,,,,,,,,,,
"7088",400,"Check the report",,3884,4284,HIV 1,G,61.0,0.0,100.0,,,,,,,,,,,,,,,,
"6495",200,"Check the report",,3884,4084,HIV 1,B,30.0,94.0,0.0,,,,,,,,,,,,,,,,
"6494",200,"Check the report",,3684,3884,HIV 1,A1,29.0,6.0,88.0,,,,,,,,,,,,,,,,
"6497",200,"HIV-1 Subtype B",74.0,4284,4484,HIV 1,B,74.0,65.0,32.0,,,,,,,,,,,,,,,,
"6496",200,"Check the report",,4084,4284,HIV 1,B,57.0,51.0,43.0,,,,,,,,,,,,,,,,
"6491",200,"HIV-1 Subtype B",80.0,3084,3284,HIV 1,B,80.0,98.0,0.0,,,,,,,,,,,,,,,,
"6490",200,"Check the report",,2884,3084,HIV 1,B,54.0,92.0,0.0,,,,,,,,,,,,,,,,
"6493",200,"HIV-1 Subtype B",90.0,3484,3684,HIV 1,B,90.0,81.0,17.0,,,,,,,,,,,,,,,,
"6492",200,"HIV-1 Subtype B",85.0,3284,3484,HIV 1,B,85.0,88.0,9.0,,,,,,,,,,,,,,,,
"6499",200,"Check the report",,4684,4884,HIV 1,B,20.0,33.0,9.0,,,,,,,,,,,,,,,,
"6498",200,"HIV-1 Subtype B",81.0,4484,4684,HIV 1,B,81.0,30.0,67.0,,,,,,,,,,,,,,,,
"6949",200,"Check the report",,4684,4884,HIV 1,K,30.0,99.0,0.0,,,,,,,,,,,,,,,,
"6948",200,"Check the report",,4484,4684,HIV 1,K,57.0,97.0,0.0,,,,,,,,,,,,,,,,
"6943",200,"Check the report",,3484,3684,HIV 1,K,52.0,100.0,0.0,,,,,,,,,,,,,,,,
"6942",200,"HIV-1 Subtype K",98.0,3284,3484,HIV 1,K,98.0,100.0,0.0,,,,,,,,,,,,,,,,
"6941",200,"HIV-1 Subtype K",97.0,3084,3284,HIV 1,K,97.0,97.0,0.0,,,,,,,,,,,,,,,,
"6940",200,"HIV-1 Subtype K",75.0,2884,3084,HIV 1,K,75.0,100.0,0.0,,,,,,,,,,,,,,,,
"6947",200,"Check the report",,4284,4484,HIV 1,K,8.0,89.0,0.0,,,,,,,,,,,,,,,,
"6946",201,"HIV-1 Subtype K",96.0,4084,4284,HIV 1,K,96.0,99.0,0.0,,,,,,,,,,,,,,,,
"6945",200,"HIV-1 Subtype K",83.0,3884,4084,HIV 1,K,83.0,100.0,0.0,,,,,,,,,,,,,,,,
"6944",200,"HIV-1 Subtype K",97.0,3684,3884,HIV 1,K,97.0,94.0,5.0,,,,,,,,,,,,,,,,
"4398",800,"HIV-1 Subtype C",100.0,3284,4084,HIV 1,C,100.0,100.0,0.0,,,,,,,,,,,,,,,,
"4399",800,"HIV-1 Subtype C",100.0,3684,4484,HIV 1,C,100.0,100.0,0.0,,,,,,,,,,,,,,,,
"4390",800,"HIV-1 Subtype G",100.0,2484,3284,HIV 1,G,100.0,98.0,0.0,,,,,,,,,,,,,,,,
"4391",800,"HIV-1 Subtype G",99.0,2884,3684,HIV 1,G,99.0,71.0,29.0,,,,,,,,,,,,,,,,
"4392",800,"HIV-1 Subtype G",100.0,3284,4084,HIV 1,G,100.0,72.0,28.0,,,,,,,,,,,,,,,,
"4393",800,"HIV-1 Subtype G",100.0,3684,4484,HIV 1,G,100.0,85.0,15.0,,,,,,,,,,,,,,,,
"4394",800,"HIV-1 Subtype G",100.0,4084,4884,HIV 1,G,100.0,100.0,0.0,,,,,,,,,,,,,,,,
"4395",797,"HIV-1 Subtype C",100.0,2084,2884,HIV 1,C,100.0,100.0,0.0,,,,,,,,,,,,,,,,
"4396",800,"HIV-1 Subtype C",100.0,2484,3284,HIV 1,C,100.0,100.0,0.0,,,,,,,,,,,,,,,,
"4397",800,"HIV-1 Subtype C",100.0,2884,3684,HIV 1,C,100.0,100.0,0.0,,,,,,,,,,,,,,,,
"3197",1600,"HIV-1 Subtype H",100.0,2884,4484,HIV 1,H,100.0,,,1.0,1.0,0.0,H,H,H,100.0,100.0,0.0,,,,,,H,H
"1367",1200,"HIV-1 Subtype B (03_AB)",100.0,3284,4484,HIV 1,B,100.0,,,1.0,1.0,0.0,B,B,03_AB,100.0,100.0,0.0,1.0,1.0,0.0,03_AB,03_AB,B,03_AB
"470",200,"Check the report",,3084,3284,HIV 1,B,65.0,61.0,30.0,,,,,,,,,,,,,,,,
"3194",1573,"Check the bootscan",,2084,3684,HIV 1,G,53.0,,,0.516,0.355,0.387,G B D B D B,- G - B,03_AB,28.0,0.0,100.0,,,,,,,
"476",200,"HIV-1 Subtype B",76.0,4284,4484,HIV 1,B,76.0,47.0,45.0,,,,,,,,,,,,,,,,
"3192",1600,"HIV-1 Subtype K",100.0,2084,3684,HIV 1,K,100.0,,,1.0,1.0,0.0,K,K,K,100.0,100.0,0.0,,,,,,K,K
"474",200,"Check the report",,3884,4084,HIV 1,D,9.0,40.0,24.0,,,,,,,,,,,,,,,,
"3190",1589,"HIV-1 CRF 08_BC",100.0,2084,3684,HIV 1,C,100.0,,,0.871,0.71,0.194,C B C,C - B - C,08_BC,100.0,11.0,87.0,0.949,0.897,0.077,08_BC C 08_BC,- C 08_BC,,
"478",200,"Check the report",,4684,4884,HIV 1,K,7.0,41.0,29.0,,,,,,,,,,,,,,,,
"479",200,"Check the report",,4884,5084,HIV 1,B,65.0,61.0,34.0,,,,,,,,,,,,,,,,
"3199",200,"HIV-1 Subtype A (A1)",83.0,2284,2484,HIV 1,A1,83.0,92.0,8.0,,,,,,,,,,,,,,,,
"3198",200,"HIV-1 Subtype A (A1)",90.0,2084,2284,HIV 1,A1,90.0,41.0,55.0,,,,,,,,,,,,,,,,
"4026",400,"Check the report",,3084,3484,HIV 1,G,65.0,76.0,16.0,,,,,,,,,,,,,,,,
"4027",400,"HIV-1 Subtype G",83.0,3284,3684,HIV 1,G,83.0,69.0,23.0,,,,,,,,,,,,,,,,
"4024",393,"HIV-1 Subtype G",75.0,2684,3084,HIV 1,G,75.0,98.0,0.0,,,,,,,,,,,,,,,,
"4025",393,"HIV-1 Subtype G",96.0,2884,3284,HIV 1,G,96.0,70.0,30.0,,,,,,,,,,,,,,,,
"4022",400,"HIV-1 Subtype G",91.0,2284,2684,HIV 1,G,91.0,92.0,6.0,,,,,,,,,,,,,,,,
"4023",400,"Check the report",,2484,2884,HIV 1,G,53.0,99.0,0.0,,,,,,,,,,,,,,,,
"4020",400,"Check the report",,4684,5084,HIV 1,H,21.0,5.0,95.0,,,,,,,,,,,,,,,,
"4021",397,"Check the report",,2084,2484,HIV 1,G,96.0,18.0,82.0,,,,,,,,,,,,,,,,
"4028",400,"HIV-1 Subtype G",100.0,3484,3884,HIV 1,G,100.0,51.0,49.0,,,,,,,,,,,,,,,,
"4029",400,"HIV-1 Subtype G",100.0,3684,4084,HIV 1,G,100.0,75.0,25.0,,,,,,,,,,,,,,,,
"3999",400,"Check the report",,3284,3684,HIV 1,K,32.0,0.0,97.0,,,,,,,,,,,,,,,,
"3998",400,"HIV-1 Subtype F (F1)",89.0,3084,3484,HIV 1,F1,89.0,38.0,61.0,,,,,,,,,,,,,,,,
"3997",400,"Check the report",,2884,3284,HIV 1,F1,98.0,6.0,94.0,,,,,,,,,,,,,,,,
"3996",400,"HIV-1 Subtype F (F1)",95.0,2684,3084,HIV 1,F1,95.0,30.0,69.0,,,,,,,,,,,,,,,,
"3995",400,"HIV-1 Subtype F (F1)",81.0,2484,2884,HIV 1,F1,81.0,65.0,33.0,,,,,,,,,,,,,,,,
"3994",400,"Check the report",,2284,2684,HIV 1,F1,52.0,44.0,40.0,,,,,,,,,,,,,,,,
"3993",400,"Check the report",,2084,2484,HIV 1,F1,54.0,6.0,87.0,,,,,,,,,,,,,,,,
"3992",400,"Check the report",,4684,5084,HIV 1,A1,21.0,29.0,22.0,,,,,,,,,,,,,,,,
"3991",400,"Check the report",,4484,4884,HIV 1,G,40.0,0.0,94.0,,,,,,,,,,,,,,,,
"3990",402,"Check the report",,4284,4684,HIV 1,A1,39.0,14.0,81.0,,,,,,,,,,,,,,,,
"298",200,"Check the report",,4684,4884,HIV 1,G,69.0,90.0,7.0,,,,,,,,,,,,,,,,
"299",200,"Check the report",,4884,5084,HIV 1,G,41.0,79.0,0.0,,,,,,,,,,,,,,,,
"296",200,"Check the report",,4284,4484,HIV 1,G,41.0,71.0,7.0,,,,,,,,,,,,,,,,
"297",200,"HIV 1 N group",,4078,4278,HIV 1 N group,,,,,,,,,,,,,,,,,,,,
"294",200,"Check the report",,3884,4084,HIV 1,B,24.0,86.0,0.0,,,,,,,,,,,,,,,,
"295",200,"Check the report",,4084,4284,HIV 1,G,10.0,0.0,76.0,,,,,,,,,,,,,,,,
"292",200,"Check the report",,3484,3684,HIV 1,B,34.0,17.0,71.0,,,,,,,,,,,,,,,,
"293",200,"Check the report",,3684,3884,HIV 1,B,42.0,51.0,25.0,,,,,,,,,,,,,,,,
"290",200,"Check the report",,3084,3284,HIV 1,B,45.0,46.0,32.0,,,,,,,,,,,,,,,,
"291",200,"Check the report",,3284,3484,HIV 1,B,68.0,67.0,22.0,,,,,,,,,,,,,,,,
"5487",400,"Check the report",,3484,3884,HIV 1,J,95.0,0.0,100.0,,,,,,,,,,,,,,,,
"2442",400,"Check the report",,3284,3684,HIV 1,K,83.0,0.0,97.0,,,,,,,,,,,,,,,,
"2443",400,"HIV-1 Subtype K",88.0,3484,3884,HIV 1,K,88.0,53.0,44.0,,,,,,,,,,,,,,,,
"2440",400,"Check the report",,2884,3284,HIV 1,G,77.0,17.0,77.0,,,,,,,,,,,,,,,,
"2441",400,"Check the report",,3084,3484,HIV 1,K,54.0,0.0,100.0,,,,,,,,,,,,,,,,
"2446",400,"Check the report",,4084,4484,HIV 1,G,60.0,29.0,64.0,,,,,,,,,,,,,,,,
"2447",400,"Check the report",,4284,4684,HIV 1,A1,66.0,26.0,63.0,,,,,,,,,,,,,,,,
"2444",400,"Check the report",,3684,4084,HIV 1,K,81.0,0.0,97.0,,,,,,,,,,,,,,,,
"2445",400,"Check the report",,3884,4284,HIV 1,G,61.0,0.0,100.0,,,,,,,,,,,,,,,,
"2448",400,"Check the report",,4484,4884,HIV 1,G,65.0,27.0,67.0,,,,,,,,,,,,,,,,
"2449",400,"Check the report",,4684,5084,HIV 1,G,34.0,20.0,51.0,,,,,,,,,,,,,,,,
"7867",1203,"HIV-1 Subtype F (F1)",100.0,3284,4484,HIV 1,F1,100.0,,,1.0,1.0,0.0,F1,F1,F1,62.0,100.0,0.0,,,,,,,
"7866",1203,"HIV-1 Subtype F (F1)",100.0,2684,3884,HIV 1,F1,100.0,,,1.0,1.0,0.0,F1,F1,F1,97.0,100.0,0.0,,,,,,F1,F1
"7865",1200,"HIV-1 Subtype F (F1)",100.0,2084,3284,HIV 1,F1,100.0,,,1.0,1.0,0.0,F1,F1,F1,67.0,100.0,0.0,,,,,,,
"7864",1200,"Check the bootscan",,3884,5084,HIV 1,A1,63.0,,,0.591,0.455,0.318,A1 G A1,A1 - G -,02_AG,90.0,6.0,92.0,0.815,0.148,0.852,02_AG G 02_AG A1,- 02_AG - 02_AG -,,
"7863",1200,"Check the bootscan",,3284,4484,HIV 1,A1,100.0,,,0.864,0.727,0.136,A1 G,A1 - G,02_AG,17.0,0.0,93.0,,,,,,,
"7862",1200,"Check the bootscan",,2684,3884,HIV 1,A1,93.0,,,0.545,0.5,0.273,A1 K A1,- K - A1,04_CPX,6.0,0.0,100.0,,,,,,,
"7861",1203,"Check the bootscan",,2084,3284,HIV 1,K,66.0,,,0.5,0.25,0.5,A1 D K A1 K,A1 - K,04_CPX,54.0,0.0,100.0,,,,,,,
"7860",1200,"Check the bootscan",,3884,5084,HIV 1,D,95.0,,,0.727,0.545,0.409,D B,D - D - B -,D,60.0,95.0,0.0,,,,,,,
"5486",400,"Check the report",,3284,3684,HIV 1,J,66.0,0.0,100.0,,,,,,,,,,,,,,,,
"7869",1200,"Check the bootscan",,2084,3284,HIV 1,B,61.0,,,0.522,0.435,0.261,F1 B,F1 - B,12_BF,95.0,11.0,87.0,0.586,0.31,0.483,12_BF B 12_BF,- 12_BF - 12_BF - B - B - 12_BF,,
"7868",1200,"HIV-1 Subtype F (F1)",100.0,3884,5084,HIV 1,F1,100.0,,,1.0,1.0,0.0,F1,F1,F1,6.0,100.0,0.0,,,,,,,
"6378",1600,"HIV-1 CRF 07_BC",100.0,2084,3684,HIV 1,C,97.0,,,0.645,0.452,0.29,B C B C,B - C - C - C,07_BC,100.0,0.0,100.0,1.0,1.0,0.0,07_BC,07_BC,,
"6379",1600,"HIV-1 CRF 07_BC",95.0,2884,4484,HIV 1,C,100.0,,,0.867,0.7,0.3,B J B C,- C - C -,07_BC,95.0,0.0,100.0,1.0,1.0,0.0,07_BC,07_BC,,
"6370",1600,"HIV-1 Subtype F (F1)",100.0,2084,3684,HIV 1,F1,100.0,,,1.0,1.0,0.0,F1,F1,F1,88.0,100.0,0.0,,,,,,F1,F1
"6371",1603,"HIV-1 Subtype F (F1)",100.0,2884,4484,HIV 1,F1,100.0,,,1.0,1.0,0.0,F1,F1,F1,94.0,100.0,0.0,,,,,,F1,F1
"6372",1600,"Check the bootscan",,2084,3684,HIV 1,B,100.0,,,0.645,0.516,0.226,F1 B,F1 - F1 - B - B,12_BF,81.0,0.0,100.0,0.564,0.282,0.615,F1 12_BF D B 12_BF,- 12_BF - B - B - 12_BF - 12_BF - 12_BF,,
"6373",1600,"Check the bootscan",,2884,4484,HIV 1,B,58.0,,,0.5,0.5,0.033,B F1,B - F1,12_BF,100.0,8.0,91.0,0.865,0.649,0.27,B 12_BF B 12_BF F1 12_BF,B 12_BF - 12_BF - 12_BF - 12_BF,,
"6374",1600,"HIV-1 CRF 12_BF",100.0,2084,3684,HIV 1,B,69.0,,,0.613,0.484,0.194,F1 B,- F1 - F1 - B,12_BF,100.0,88.0,12.0,0.949,0.821,0.179,12_BF F1 12_BF,- 12_BF - 12_BF - 12_BF - 12_BF - 12_BF,,
"6375",1600,"HIV-1 CRF 12_BF",100.0,2884,4484,HIV 1,F1,68.0,,,0.567,0.467,0.2,F1 B F1,- B - F1 - F1,12_BF,100.0,59.0,41.0,1.0,1.0,0.0,12_BF,12_BF,,
"6376",1597,"Check the bootscan",,2084,3684,HIV 1,D,100.0,,,0.839,0.548,0.452,D H D B H D,D - D - D -,D,86.0,76.0,22.0,,,,,,,
"6377",1600,"Check the bootscan",,2884,4484,HIV 1,D,95.0,,,0.767,0.533,0.467,B D A1,- D - D - D -,D,97.0,75.0,24.0,,,,,,,
"5484",400,"Check the report",,2884,3284,HIV 1,J,83.0,0.0,100.0,,,,,,,,,,,,,,,,
"5483",400,"Check the report",,2684,3084,HIV 1,J,95.0,0.0,98.0,,,,,,,,,,,,,,,,
"5407",400,"Check the report",,4284,4684,HIV 1,G,30.0,10.0,83.0,,,,,,,,,,,,,,,,
"5406",400,"Check the report",,4084,4484,HIV 1,A1,18.0,0.0,94.0,,,,,,,,,,,,,,,,
"7394",400,"Check the report",,3484,3884,HIV 1,D,31.0,32.0,36.0,,,,,,,,,,,,,,,,
"1434",1193,"HIV-1 Subtype G",100.0,2684,3884,HIV 1,G,100.0,,,1.0,1.0,0.0,G,G,G,6.0,89.0,0.0,,,,,,,
"5482",400,"Check the report",,2484,2884,HIV 1,H,41.0,0.0,100.0,,,,,,,,,,,,,,,,
"1435",1200,"HIV-1 Subtype G",100.0,3284,4484,HIV 1,G,100.0,,,1.0,1.0,0.0,G,G,G,17.0,88.0,0.0,,,,,,,
"1432",1200,"HIV-1 CRF 01_AE",100.0,3884,5084,HIV 1,A1,100.0,,,0.864,0.818,0.182,A1 K,A1 -,01_AE,100.0,34.0,66.0,0.963,0.852,0.148,01_AE K 01_AE,01_AE -,,
"3394",200,"Check the report",,2284,2484,HIV 1,G,82.0,9.0,91.0,,,,,,,,,,,,,,,,
"1623",200,"Check the report",,3884,4084,HIV 1,K,37.0,5.0,86.0,,,,,,,,,,,,,,,,
"1622",200,"Check the report",,3684,3884,HIV 1,F1,31.0,12.0,78.0,,,,,,,,,,,,,,,,
"1621",200,"Check the report",,3484,3684,HIV 1,K,62.0,77.0,10.0,,,,,,,,,,,,,,,,
"1620",200,"Check the report",,3284,3484,HIV 1,K,35.0,0.0,98.0,,,,,,,,,,,,,,,,
"1627",200,"Check the report",,4684,4884,HIV 1,G,64.0,92.0,0.0,,,,,,,,,,,,,,,,
"1626",200,"Check the report",,4484,4684,HIV 1,G,47.0,18.0,74.0,,,,,,,,,,,,,,,,
"1625",200,"Check the report",,4284,4484,HIV 1,J,7.0,7.0,68.0,,,,,,,,,,,,,,,,
"3200",200,"Check the report",,2484,2684,HIV 1,J,7.0,0.0,95.0,,,,,,,,,,,,,,,,
"1999",200,"HIV-1 Subtype F (F1)",96.0,4084,4284,HIV 1,F1,96.0,78.0,22.0,,,,,,,,,,,,,,,,
"1998",200,"HIV-1 Subtype F (F1)",84.0,3884,4084,HIV 1,F1,84.0,100.0,0.0,,,,,,,,,,,,,,,,
"1629",194,"Check the report",,2084,2284,HIV 1,A1,58.0,12.0,86.0,,,,,,,,,,,,,,,,
"1628",200,"Check the report",,4884,5084,HIV 1,K,27.0,36.0,35.0,,,,,,,,,,,,,,,,
"3209",200,"Check the report",,4284,4484,HIV 1,B,52.0,12.0,71.0,,,,,,,,,,,,,,,,
"3208",200,"HIV-1 Subtype B",91.0,4084,4284,HIV 1,B,91.0,95.0,0.0,,,,,,,,,,,,,,,,
"5058",200,"Check the report",,3284,3484,HIV 1,G,12.0,41.0,8.0,,,,,,,,,,,,,,,,
"5059",200,"HIV-1 Subtype G",85.0,3484,3684,HIV 1,G,85.0,59.0,34.0,,,,,,,,,,,,,,,,
"2860",800,"Check the report",,3684,4484,HIV 1,F1,42.0,0.0,100.0,,,,,,,,,,,,,,,,
"2861",800,"Check the report",,4084,4884,HIV 1,B,72.0,0.0,97.0,,,,,,,,,,,,,,,,
"2862",800,"HIV-1 Subtype A (A1)",100.0,2084,2884,HIV 1,A1,100.0,81.0,18.0,,,,,,,,,,,,,,,,
"2863",800,"HIV-1 Subtype A (A1)",99.0,2484,3284,HIV 1,A1,99.0,94.0,6.0,,,,,,,,,,,,,,,,
"559",200,"Check the report",,2884,3084,HIV 1,D,11.0,26.0,26.0,,,,,,,,,,,,,,,,
"558",200,"Check the report",,2684,2884,HIV 1,D,26.0,0.0,94.0,,,,,,,,,,,,,,,,
"2866",800,"HIV-1 Subtype A (A1)",100.0,3684,4484,HIV 1,A1,100.0,65.0,35.0,,,,,,,,,,,,,,,,
"2867",800,"HIV-1 Subtype A (A1)",100.0,4084,4884,HIV 1,A1,100.0,91.0,9.0,,,,,,,,,,,,,,,,
"555",173,"Check the report",,2084,2257,HIV 1,G,42.0,48.0,29.0,,,,,,,,,,,,,,,,
"554",195,"Check the report",,4884,5084,HIV 1,K,66.0,99.0,0.0,,,,,,,,,,,,,,,,
"557",200,"Check the report",,2484,2684,HIV 1,B,32.0,9.0,81.0,,,,,,,,,,,,,,,,
"556",200,"HIV-1 Subtype G",100.0,2284,2484,HIV 1,G,100.0,30.0,70.0,,,,,,,,,,,,,,,,
"551",200,"Check the report",,4284,4484,HIV 1,K,17.0,98.0,0.0,,,,,,,,,,,,,,,,
"550",201,"HIV-1 Subtype K",96.0,4084,4284,HIV 1,K,96.0,100.0,0.0,,,,,,,,,,,,,,,,
"553",200,"Check the report",,4684,4884,HIV 1,K,51.0,99.0,0.0,,,,,,,,,,,,,,,,
"552",200,"Check the report",,4484,4684,HIV 1,K,57.0,100.0,0.0,,,,,,,,,,,,,,,,
"3539",200,"Check the report",,4284,4484,HIV 1,A1,42.0,40.0,32.0,,,,,,,,,,,,,,,,
"1438",1200,"HIV-1 CRF 06_CPX",100.0,2684,3884,HIV 1,K,89.0,,,0.682,0.364,0.455,G K,- G K - K - K - K -,06_CPX,100.0,100.0,0.0,1.0,1.0,0.0,06_CPX,06_CPX,,
"5055",200,"Check the report",,2684,2884,HIV 1,G,42.0,97.0,0.0,,,,,,,,,,,,,,,,
"5230",200,"Check the report",,4684,4884,HIV 1,F1,46.0,85.0,0.0,,,,,,,,,,,,,,,,
"5231",200,"Check the report",,4884,5084,HIV 1,F1,55.0,21.0,67.0,,,,,,,,,,,,,,,,
"5232",197,"Check the report",,2084,2284,HIV 1,D,58.0,64.0,15.0,,,,,,,,,,,,,,,,
"4260",400,"HIV-1 Subtype G",86.0,2284,2684,HIV 1,G,86.0,78.0,20.0,,,,,,,,,,,,,,,,
"4261",400,"Check the report",,2484,2884,HIV 1,G,64.0,96.0,0.0,,,,,,,,,,,,,,,,
"4262",400,"Check the report",,2684,3084,HIV 1,G,51.0,92.0,0.0,,,,,,,,,,,,,,,,
